name,parent,value
General Editorial Theme: Support/Wellness [EVP-centric],Origin,1
HERO Stories,General Editorial Theme: Support/Wellness [EVP-centric],1
Disability Employment Awareness Month Kickoff (10/3-cont. D&I Pillar),HERO Stories,1
Global Mental Wellness Week (10/10-10/14. EVP Pillar),HERO Stories,1
Coaching Award Story (10/14. EVP Pillar),HERO Stories,1
SWE Award Story-Theme Outlier-(10/20. Tech Leadership Pillar),HERO Stories,1
Applicable High-Level Editorial Content,General Editorial Theme: Support/Wellness [EVP-centric],1
World Teacher’s Day (10/4. EVP/CSR Pillar),Applicable High-Level Editorial Content,1
National Coaches Day (10/6. EVP Pillar),Applicable High-Level Editorial Content,1
Global Mental Wellness Week (Oct 10-14. EVP Pillar),Applicable High-Level Editorial Content,1
LearningFest (10/18-cont. EVP/Career Pillar),Applicable High-Level Editorial Content,1
National Campus Benefits Roadshows (Sometime in October. EVP Pillar),Applicable High-Level Editorial Content,1
National Make A Difference Day (10/22. CSR Pillar),Applicable High-Level Editorial Content,1
